ACADEMIC_YEAR,STATE_CODE,STATE_NAME,DISTRICT_CODE,DISTRICT_NAME,BLOCK_CODE,UDISE_BLOCK_NAME,LOCATION,SCHOOL_CATEGORY_ID,SCHOOL_CATEGORY_NAME,SCHOOL_MANAGEMENT_ID,SCHOOL_MANAGEMENT_NAME,TOTAL_NUMBER_OF_SCHOOLS,,BOUNDARY_WALL,SINGLE_CLASS_ROOM,SEPARATE_ROOM_FOR_HEADMASTER,LAND_AVAILABLE,ELECTRICITY,FUNCTIONAL_ELECTRICITY,SOLAR_PANEL,FURNITURE,PLAYGROUND,LIBRARY_OR_READING_CORNER_OR_BOOK_BANK,LIBRARIAN,NEWSPAPER,KITCHEN_GARDEN,BOY_TOILET,FUNCTIONAL_BOY_TOILET,GIRL_TOILET,FUNCTIONAL_GIRL_TOILET,TOILET_FACILITY,FUNCTIONAL_TOILET_FACILITY,FUNCTIONAL_URINAL_BOY,FUNCTIONAL_URINAL_GIRL,FUNCTIONAL_URINAL,FUNCTIONAL_TOILET_AND_URINAL,DRINKING_WATER,FUNCTIONAL_DRINKING_WATER,WATER_PURIFIER,RAIN_WATER_HARVESTING,WATER_TESTED,HANDWASH,INCINERATOR,WASH_FACILITY_DRINKING_WATER_TOILET_AND_HANDWASH,RAMPS,MEDICAL_CHECKUP,COMPLETE_MEDICAL_CHECKUP,INTERNET,COMPUTER_AVAILABLE
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,1,PS (IV),1,Department of Education,77,77,61,0,66,46,69,72,1,0,41,77,9,29,8,77,77,77,77,77,77,76,76,76,76,77,77,1,4,9,71,0,71,72,71,67,1,1
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,1,PS (IV),2,Tribal Welfare Department,2,2,1,0,1,2,2,2,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,2,0,2,,1,1,0,0
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,1,PS (IV),5,Private Unaided (Recognized),21,21,16,0,20,17,21,21,0,0,20,8,2,16,2,,21,21,21,21,21,20,20,20,20,21,21,0,0,,19,0,19,7,6,5,6,
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,1,PS (IV),97,Madarsa recognized (by Wakf board/Madarsa Board) ,3,2,2,0,2,1,3,3,0,0,2,0,1,2,0,3,3,3,3,3,3,2,2,2,2,3,3,0,0,,1,0,1,2,0,0,0,0
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,2,UPS (IVIII),1,Department of Education,30,29,26,0,30,26,,,0,0,22,30,,14,2,30,30,30,,30,,30,30,30,30,30,30,1,1,,29,26,29,,29,27,0,2
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,2,UPS (IVIII),5,Private Unaided (Recognized),20,20,20,0,20,18,19,19,5,0,20,16,9,19,3,20,20,20,20,20,,20,20,20,20,,20,,3,,19,12,19,6,8,7,9,14
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,2,UPS (IVIII),97,Madarsa recognized (by Wakf board/Madarsa Board) ,1,1,1,0,1,1,,1,,0,1,1,0,1,,1,1,1,1,1,,1,1,1,1,,1,,0,,0,0,0,1,0,0,,0
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,3,HSS (IXII),5,Private Unaided (Recognized),1,1,1,0,1,1,,1,1,0,1,1,,1,0,1,1,1,1,1,,1,1,1,1,,1,,0,,1,0,1,1,1,0,,1
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,4,UPS (VIVIII),1,Department of Education,20,20,16,0,19,16,9,13,0,0,15,19,,,3,20,20,19,19,20,,20,19,20,20,,20,,3,,17,13,,19,19,19,,
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,4,UPS (VIVIII),4,Government Aided,1,1,1,0,1,,1,1,0,0,1,1,,1,0,1,1,1,1,1,,1,1,1,1,,1,,0,,1,1,,1,1,0,,1
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,4,UPS (VIVIII),5,Private Unaided (Recognized),4,,3,0,4,4,,4,0,0,4,3,,3,1,4,4,,4,4,,3,3,3,3,,4,,0,,3,2,,0,1,1,,3
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,5,HSS (VIXII),4,Government Aided,2,2,2,0,2,2,,2,0,0,2,2,,1,2,2,2,2,2,2,,2,2,2,2,,2,,0,,2,1,,0,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,5,HSS (VIXII),5,Private Unaided (Recognized),3,3,3,0,3,3,,3,1,0,3,,,2,0,3,3,3,3,3,,2,2,2,2,3,3,,2,,3,1,,1,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,6,SS (IX),97,Madarsa recognized (by Wakf board/Madarsa Board) ,4,4,3,0,3,2,4,4,0,0,2,2,,1,1,4,3,4,4,4,,3,4,4,4,4,4,,1,,4,0,,,3,2,,
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,7,SS (VIX),5,Private Unaided (Recognized),4,4,4,0,4,4,4,4,0,0,4,3,,3,,4,4,4,4,4,,4,4,4,4,4,4,,0,,4,2,,1,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,8,SS (IXX),1,Department of Education,4,4,3,0,4,2,0,0,0,0,,4,0,0,,3,3,4,,4,,3,4,4,4,4,4,,1,,4,0,,1,4,3,,
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,8,SS (IXX),5,Private Unaided (Recognized),2,2,2,0,2,2,,2,2,0,2,2,0,2,,2,2,2,2,2,,2,2,2,2,2,2,,0,,2,1,,0,1,1,,2
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,10,HSS (IXXII),4,Government Aided,1,1,1,0,1,1,1,1,0,0,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,,0,,1,1,,0,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Rural,10,HSS (IXXII),5,Private Unaided (Recognized),5,5,5,0,5,5,5,5,3,0,4,5,4,5,,5,5,,5,5,,5,5,5,5,5,5,,1,,5,2,,1,3,3,,3
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Urban,1,PS (IV),1,Department of Education,1,1,1,0,1,1,1,1,,0,0,1,0,1,,1,1,1,1,1,,1,1,1,1,1,1,,0,,1,0,,0,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Urban,1,PS (IV),5,Private Unaided (Recognized),7,7,6,0,7,7,,7,0,0,6,5,1,4,,7,7,7,7,7,,7,7,7,7,7,7,,0,,7,0,,2,1,1,,3
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Urban,1,PS (IV),97,Madarsa recognized (by Wakf board/Madarsa Board) ,1,1,1,0,0,0,,1,0,0,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,0,0,,1,0,,1,1,0,,0
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Urban,2,UPS (IVIII),5,Private Unaided (Recognized),10,10,10,0,10,,10,10,0,0,9,8,5,10,,,10,10,10,10,,10,10,10,10,10,10,3,1,,9,5,9,2,2,2,,5
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Urban,4,UPS (VIVIII),1,Department of Education,1,0,1,0,1,1,,1,1,0,1,1,0,1,,0,0,1,1,1,,0,1,1,1,,1,0,0,,1,1,1,1,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Urban,4,UPS (VIVIII),5,Private Unaided (Recognized),2,2,1,0,2,0,,2,1,0,2,2,1,2,,2,2,,2,2,,2,2,2,2,,2,1,0,,2,1,2,,1,1,,1
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Urban,5,HSS (VIXII),4,Government Aided,2,2,2,0,2,2,2,,2,0,2,1,0,2,,1,1,2,,2,,1,2,2,2,,2,1,0,,2,1,2,1,2,2,,1
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Urban,6,SS (IX),5,Private Unaided (Recognized),1,1,1,0,1,1,1,1,0,0,1,1,1,,,1,1,1,1,1,,1,1,1,1,,1,1,1,0,1,0,1,0,1,1,,1
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Urban,7,SS (VIX),5,Private Unaided (Recognized),2,2,2,0,2,2,2,2,0,0,2,1,2,2,,2,2,2,2,2,,2,2,2,2,,2,0,1,0,2,1,2,0,0,0,,1
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Urban,8,SS (IXX),5,Private Unaided (Recognized),1,1,1,0,1,1,1,1,0,0,,1,,1,,1,1,1,1,1,,1,1,1,1,,1,1,0,1,1,0,1,0,1,1,,1
201920,9,Uttar Pradesh,966,CHANDAULI,96601,CHANDAULI,Urban,10,HSS (IXXII),5,Private Unaided (Recognized),1,,1,0,1,1,1,1,1,0,1,1,0,1,,1,1,1,1,1,,1,1,1,1,,1,0,0,0,1,0,1,1,0,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,1,PS (IV),1,Department of Education,87,87,65,0,76,41,87,87,,0,24,84,1,60,,84,83,86,85,87,,,58,60,60,,87,2,2,7,85,0,85,,80,47,2,
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,1,PS (IV),5,Private Unaided (Recognized),14,14,12,0,10,10,,10,2,0,9,8,1,7,,14,13,14,13,14,,14,14,14,13,,12,0,1,1,12,0,,3,6,2,2,6
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,2,UPS (IVIII),1,Department of Education,35,35,25,0,32,24,35,35,1,0,11,35,0,25,,35,35,35,34,35,,32,32,32,32,,35,1,2,4,35,12,,,33,25,0,9
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,2,UPS (IVIII),5,Private Unaided (Recognized),12,12,11,0,11,10,,12,0,0,12,8,1,9,,12,12,12,12,12,,11,11,11,11,,12,2,0,4,12,4,,4,7,3,2,6
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,2,UPS (IVIII),97,Madarsa recognized (by Wakf board/Madarsa Board) ,1,1,1,0,1,1,1,1,0,0,1,0,0,0,,1,1,1,1,1,,1,1,1,1,,1,0,0,1,1,0,,1,1,0,0,1
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,2,UPS (IVIII),98,Madarsa unrecognized,1,1,1,0,1,1,1,1,0,0,1,,0,0,,1,1,1,,1,1,1,1,1,1,,1,0,0,0,1,0,,1,1,0,,1
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,3,HSS (IXII),5,Private Unaided (Recognized),1,1,1,0,1,1,1,1,1,0,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,0,1,1,,1
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,4,UPS (VIVIII),1,Department of Education,19,18,11,0,18,13,19,,2,0,10,19,,18,,18,18,19,19,19,19,14,15,15,15,,19,1,0,6,19,8,,18,18,8,,5
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,4,UPS (VIVIII),4,Government Aided,3,3,2,0,3,3,,2,0,0,3,3,,1,,3,3,3,3,3,3,3,3,3,3,,3,,1,2,3,2,,2,3,0,,0
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,4,UPS (VIVIII),5,Private Unaided (Recognized),11,11,7,0,10,10,6,6,2,0,8,4,,6,,11,10,11,10,11,10,10,10,10,10,,10,,2,4,10,4,,3,4,0,,3
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,5,HSS (VIXII),4,Government Aided,2,2,2,0,1,2,,1,2,0,2,2,,2,,2,2,2,2,2,2,2,2,2,2,,2,,0,0,2,1,,1,1,1,,2
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,5,HSS (VIXII),5,Private Unaided (Recognized),2,2,2,0,2,2,,1,1,0,2,2,,2,,1,1,2,2,2,2,1,2,2,2,,1,,0,1,2,2,,0,1,0,,1
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,7,SS (VIX),4,Government Aided,1,1,1,0,1,1,,1,,0,1,1,,,,0,0,1,1,1,1,0,1,1,1,,1,,0,0,1,1,,0,1,0,,0
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,7,SS (VIX),5,Private Unaided (Recognized),3,3,3,0,3,3,2,2,1,0,1,1,,1,,3,3,,3,3,,3,3,3,3,,3,,0,3,3,2,,0,1,1,,1
201920,9,Uttar Pradesh,966,CHANDAULI,96602,CHAKIYA,Rural,8,SS (IXX),1,Department of Education,3,3,0,0,3,2,1,1,0,0,1,3,,1,,,3,3,3,3,,3,3,3,3,,3,,0,0,3,0,,0,3,2,,
